order_id,delivery_person_id,delivery_person_age,delivery_person_rating,city,order_date,order_time,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,distance_km,order_value_inr,payment_type,order_status,cancellation_reason,delivery_time_min
ORD104470,CHERES25DEL08,18,4.4,Chennai,2026-03-01,01:35:00,Sunny,High,0,Drinks,motorcycle,0,No,3.74,578.48,Cash,Delivered,,37.4
ORD105904,DELRES39DEL03,23,4.6,Delhi,2026-03-01,02:53:00,Stormy,Low,2,Snack,motorcycle,0,No,1.06,406.41,UPI,Delivered,,26.7
ORD104386,DELRES03DEL06,18,4.0,Delhi,2026-03-01,03:45:00,Sunny,High,3,Snack,motorcycle,2,No,5.64,562.14,Card,Cancelled,Customer Cancelled,
ORD100242,PUNRES18DEL03,24,4.4,Pune,2026-03-01,04:59:00,Sunny,Medium,0,Meal,scooter,1,No,3.67,269.36,UPI,Delivered,,29.5
ORD103258,PUNRES02DEL01,31,4.9,Pune,2026-03-01,06:15:00,Sunny,Medium,3,Snack,motorcycle,0,No,2.98,331.59,Cash,Delivered,,25.7
ORD105026,CHERES26DEL03,32,4.2,Chennai,2026-03-01,07:11:00,Windy,Medium,0,Buffet,scooter,0,No,6.09,690.98,UPI,Delivered,,41.5
ORD102918,BENRES44DEL06,37,4.0,Bengaluru,2026-03-01,09:16:00,Sunny,Medium,3,Meal,motorcycle,1,No,9.74,451.89,Card,Delivered,,41.4
ORD101052,DELRES24DEL05,34,4.5,Delhi,2026-03-01,09:56:00,Fog,High,2,Drinks,motorcycle,2,No,1.74,462.24,Wallet,Delivered,,43.5
ORD101488,BENRES25DEL05,33,4.3,Bengaluru,2026-03-01,10:21:00,Sunny,Jam,2,Meal,scooter,2,No,3.5,248.07,Wallet,Delivered,,57.0
ORD105250,PUNRES10DEL03,31,4.5,Pune,2026-03-01,10:35:00,Cloudy,High,1,Meal,bicycle,0,No,2.04,296.41,Cash,Cancelled,Customer Cancelled,
ORD101937,BENRES28DEL07,28,4.5,Bengaluru,2026-03-01,10:55:00,Stormy,Medium,1,Buffet,scooter,0,No,2.57,254.62,UPI,Cancelled,Traffic Delay,
ORD104492,KOLRES34DEL03,27,5.0,Kolkata,2026-03-01,11:02:00,Windy,Low,1,Snack,motorcycle,0,No,3.36,249.69,UPI,Delivered,,29.5
ORD102707,BENRES04DEL02,22,3.9,Bengaluru,2026-03-01,11:10:00,Sunny,High,3,Drinks,motorcycle,0,No,13.97,306.17,UPI,Delivered,,55.6
ORD100453,HYDRES39DEL04,35,4.2,Hyderabad,2026-03-01,11:25:00,Sunny,Jam,2,Buffet,motorcycle,1,No,2.52,175.18,UPI,Delivered,,41.1
ORD104237,MUMRES03DEL08,29,4.5,Mumbai,2026-03-01,12:25:00,Sunny,Medium,1,Meal,motorcycle,0,No,1.15,189.67,Wallet,Delivered,,21.3
ORD103718,PUNRES16DEL01,42,3.9,Pune,2026-03-01,12:31:00,Sunny,Low,2,Drinks,scooter,0,No,13.34,295.3,Cash,Delivered,,31.2
ORD100799,CHERES05DEL05,36,3.7,Chennai,2026-03-01,12:34:00,Sunny,Low,0,Buffet,motorcycle,0,No,7.74,320.63,UPI,Delivered,,27.9
ORD105417,DELRES15DEL05,22,3.7,Delhi,2026-03-01,12:34:00,Cloudy,High,1,Buffet,scooter,0,No,9.9,219.63,Card,Delivered,,42.5
ORD102526,DELRES11DEL05,33,4.2,Delhi,2026-03-01,12:38:00,Sunny,Medium,3,Drinks,electric_scooter,0,No,6.62,379.95,Cash,Delivered,,34.4
