dimension,segment_value,total_orders,cancellation_rate_pct
city,Kolkata,483,11.18
city,Bengaluru,1449,10.21
city,Delhi,986,9.74
city,Pune,598,9.53
city,Chennai,715,9.51
city,Mumbai,1049,8.67
city,Hyderabad,720,7.5
festival,Yes,290,15.86
festival,No,5710,9.14
road_traffic_density,Jam,603,18.57
road_traffic_density,High,1472,12.43
road_traffic_density,Medium,2189,7.04
road_traffic_density,Low,1736,6.85
weather_conditions,Stormy,572,17.66
weather_conditions,Sandstorms,307,15.31
weather_conditions,Fog,611,10.97
weather_conditions,Sunny,2267,8.25
weather_conditions,Cloudy,1445,7.82
weather_conditions,Windy,798,6.64
